text	vaccine	attitude	side_effects
He got spanked with a headache and the blahs like he has the flu but no flu symptoms. Also fatigue. I've had 2 Pfizer and got the Moderna and Moderna gave me a little of that post flu like feeling for a day or so then all gone.	Moderna	Neutral	Fever
"He is a purveyor of the truth, which is more than can be said about the MSM ""reporter's"", sponsored by Pfizer"	Pfizer	Negative	None
Baker's mate and Pfizer sponsored doctor back again trying to push vaccines on kids who don't need them.	Pfizer	Negative	No Details
Fortunately I'm familiar with the science of vaccines. No they are not perfect, but the Pfizer and Moderna vaccines are some of the most effective ever developed. People can still get sick but most do not require hospitalization. Again, do what you want- take you chances.	Pfizer	Positive	No Details
Fortunately I'm familiar with the science of vaccines. No they are not perfect, but the Pfizer and Moderna vaccines are some of the most effective ever developed. People can still get sick but most do not require hospitalization. Again, do what you want- take you chances.	Moderna	Positive	None
This Jolteon just got half vaccinated by an AstraZeneca vaccine today! No side effects except sore arm from my left arm where I got jabbed right now, but you may expect a slowed artfight attack for a few days lol	AstraZeneca	Neutral	Muscle Pain
I am 65 years old and only had a little soreness at the injection site with the Moderna vaccine. No more than a flu shot.	Moderna	Neutral	Muscle Pain
got my 2nd moderna vaccine yesterday,how did you and the littles handle it? i've had a fever and headache most of today.	Moderna	Neutral	Headache,Fever
Majority of them After the second shot of Moderna flu like symptoms Pfizer and Moderna From sore arms to chills, sweats, skin hurts, nausea Leg pains	Moderna	Negative	Muscle Pain,Chills,Nausea
Sorry to hear that. I’m 71 and got my second Moderna shot June7. Other than a sore arm and fatigue for a few days, no problem. You’re doing the right thing. Low vaccine rates encourage further outbreaks.	Moderna	Neutral	Tiredness,Muscle Pain
I'm fully vaxxed (Moderna) and so is my gf (J&J). So, I'd argue that maybe this shouldn't be treated like the common cold.	Moderna	Neutral	None
thats completely valid girl as someone whose gotten the moderna one i can tell you that you dont exactly get sick you definitely get body aches and feel very very tired best thing i can recommend is to take some pain killers after you’ve gotten the vaccine if you go through w/it	Moderna	Neutral	Tiredness,Muscle Pain
All three Moderna. Immune Compromised. Was ill with all three shots. It was like 4 hours of a low temp and feeling crappy. Called in sick, citing the vaccine, stayed home each time bingeing tv. LOL It was NOTHING. Really.	Moderna	Positive	Chills
you are a front liner... how come you have not opted vaccine yet? I got AstraZeneca 9 days ago.. just 100 fever for 1 day. in Khi, Expo Center is the best place for public	AstraZeneca	Negative	Fever
Does the govt have cold chain facility to store the Pfizer and Moderna vaccines? May freezers ba? Baka masayang lang vaccines if wala.	Pfizer	Negative	None
Does the govt have cold chain facility to store the Pfizer and Moderna vaccines? May freezers ba? Baka masayang lang vaccines if wala.	Moderna	Negative	None
I had a bad reaction after my first AZ. Nothing for the second. Felt bone tired and mildly achy for a few hours day after my Pfizer booster. Still worth it.	Pfizer	Positive	Muscle Pain
I had a bad reaction after my first AZ. Nothing for the second. Felt bone tired and mildly achy for a few hours day after my Pfizer booster. Still worth it.	AstraZeneca	Positive	None
that can help SARS-CoV 2 virus from entering the cells. Mine almost reached 2000 U/mL. INDEED, VACCINES WORK!!! Specificity: 99.98% Sensitivity: 98.80% #VaccinesWork #Resbakuna #AstraZeneca	AstraZeneca	Positive	None
Up until now, I've never advised anyone not to take a Covid 'vaccine' (it's none of my business). But I have a friend (43, Female) due their 2nd injection on Friday. They had headaches after injection no.1 (AstraZeneca). Moral dilemma. Do I offer my opinion, or stay silent?	AstraZeneca	Neutral	Headache
We're definitely going to accumulate good effectiveness data in our 3rd wave for J&J vaccine in health workers and teachers and Pfizer in the older age groups	Pfizer	Positive	None
Pfizer, Moderna and Moderna here. The second dose was the worst. First and third doses were just arm pain for less than a day	Pfizer	Negative	Muscle Pain
Pfizer, Moderna and Moderna here. The second dose was the worst. First and third doses were just arm pain for less than a day	Moderna	Negative	Muscle Pain
Sore arm and feeling groggy seems to be the worst side effect of the Pfizer vaccine. I survived it thanks. I have tomorrow off so will be relaxing and doing a deeper dive into folk metal.	Pfizer	Neutral	Headache,Muscle Pain
Die logica zou kloppen als je vaccins AstraZeneca waren en booster Pfizer. 2 verschillende types vaccin. Pfizer en Moderna is meer vergelijkbaar met Euro 95 en 98 te mixen.	Pfizer		
Die logica zou kloppen als je vaccins AstraZeneca waren en booster Pfizer. 2 verschillende types vaccin. Pfizer en Moderna is meer vergelijkbaar met Euro 95 en 98 te mixen.	Moderna		
Die logica zou kloppen als je vaccins AstraZeneca waren en booster Pfizer. 2 verschillende types vaccin. Pfizer en Moderna is meer vergelijkbaar met Euro 95 en 98 te mixen.	AstraZeneca	Neutral	None
Geh dich 12 mal im Jahr boostern Flop. Wenn du in NRW bist kannste das jetzt schon machen. Hau rein. Pfizer dankt!	Pfizer	Positive	None
Wife after second Moderna. Severe symptoms for several days. Tired for a week. Son after first shot. Sick for a week. He had already recovered from Covid19 with mild symptoms. I was sick for two days after second moderna with chills and aches. Then ok	Moderna	Negative	Tiredness,Muscle Pain,Chills
Which vaccine did you get? I got Pfizer and pretty much only got a sore arm after both shots. My wife though had some pretty nasty reactions after shot #2.	Pfizer	Neutral	Muscle Pain
I got my Pfizer COVID vaccine #1 yesterday. I woke up this morning with all of the side effects. Fever, chills, aches, pounding headache, sore arm. Throughout the day it has gotten better, but I’m left with slight congestion and fatigue. Curious if this happened to anyone else?	Pfizer	Negative	Headache,Muscle Pain,Chills,Fever
current moderna booster side effects include muscle aches, pain everywhere, hot cold shivers, headache and nausea :c but at least i’m protected and protecting others	Moderna	Neutral	Headache,Muscle Pain,Fever,Nausea
I’m 67 and have a compromised immune system. My son-in-law works for Pfizer. He said my vaccine, the same vaccine that protects someone with a healthy immune system over 90%, protects me about 70%. Vaccinated folks may still get sick, but hopefully won’t be a statistic.	Pfizer	Neutral	None
Got my first pfizer, only have a sore arm. They now want young people to take AZ and Janssen here in Ireland due to an oncoming 4th wave, despite those vaccines not being approved for use in young people due to blood clotting risks so its all whack atm.	Pfizer	Neutral	Muscle Pain
Got 2nd vaccine last night (1 Pfizer - 2 Moderna). Went for 10k bike ride this morning and worked today. Bit of a sore shoulder late today and a bit warm tonight, but no issues at all with mixing them. #doublevaxxed	Pfizer		
Got 2nd vaccine last night (1 Pfizer - 2 Moderna). Went for 10k bike ride this morning and worked today. Bit of a sore shoulder late today and a bit warm tonight, but no issues at all with mixing them. #doublevaxxed	Moderna	Positive	Muscle Pain
Les pharmaciens vont pouvoir acheter des actions de #Pfizer par ex! Avec le pognon de dingue	Pfizer	Negative	
OK, 22 hours since my 2nd covid vaccine shot (Moderna). Feeling a little achy, but a lot better than I did after my 1st with AstraZeneca	Moderna	Positive	Muscle Pain
Double vaxxed with Moderna. Tested positive. Fever and chills that lasted 2 days. Cough lasted a week. I’ve been much sicker by the flu than I did COVID.	Moderna	Negative	Chills,Fever
I got the vaccine because my mom and sister asked me too. Worst decision of my life. 5 weeks of debilitating sciatic nerve pain. First time in my life. I’m 64. #Moderna	Moderna	Negative	Muscle Pain
Here is a fact that The useless government haven’t told u the astrazeneca vaccine is actually a virus that is cheaper to make and the Pfizer is not but dose need expensive cold storage!!!	Pfizer	Neutral	None
Here is a fact that The useless government haven’t told u the astrazeneca vaccine is actually a virus that is cheaper to make and the Pfizer is not but dose need expensive cold storage!!!	AstraZeneca	Negative	None
Nos querian hacer renunciar al respirador por marchar pidiendo trabajar y esta rata inmunda despues de forrear a los muertos que no tuvieron 14mill de pfizer ahora se la puso y se te rie en la cara #CopaniSorete	Pfizer	Negative	None
All 3 Pfizer- arm sore each time… gone in a day.	Pfizer	Neutral	Muscle Pain
I had fever, chills, headache, body pain after the second dose of pfizer biontech. After 48 hours it's all gone. Just a common immune response after the vaccine. That means it's working. No need to worry...but I don't know about sinovac since it's from China.	Pfizer	Neutral	Headache,Muscle Pain,Chills,Fever
I had fever, chills, headache, body pain after the second dose of pfizer biontech. After 48 hours it's all gone. Just a common immune response after the vaccine. That means it's working. No need to worry...but I don't know about sinovac since it's from China.	Sinovac	Negative	None
The moderna and Pfizer vaccines are 95% effective in stopping u from gettin sick from covid, but studies early this year hav shown that i's 91% effective in stopping u from getting covid IN THE FIRST PLACE. It not only stop u from getting sick, it stops u from spreading covid too	Pfizer	Neutral	None
The moderna and Pfizer vaccines are 95% effective in stopping u from gettin sick from covid, but studies early this year hav shown that i's 91% effective in stopping u from getting covid IN THE FIRST PLACE. It not only stop u from getting sick, it stops u from spreading covid too	Moderna	Neutral	None
Last month after the Moderna booster I have had heart palpitations and hard heart beating. Makes me sick	Moderna	Negative	Nausea
Absolutely no side effects from my Moderna booster aside from the massive headache, the crippling leg aches and only getting today’s Wordle in four moves instead of three.	Moderna	Negative	Headache,Muscle Pain
Got Pfizer-boosted today and just like my previous AZ doses, didn’t feel a thing aside from soreness on inoculation site.	Pfizer	Positive	Muscle Pain
Got Pfizer-boosted today and just like my previous AZ doses, didn’t feel a thing aside from soreness on inoculation site.	AstraZeneca	Positive	Muscle Pain
I had Moderna and 4/5 of us who got the shot from the house were sick for a few days. Monitor what you feel. It was like flu for me including the body pains, cough and I did have asthma too.	Moderna	Positive	Muscle Pain,Other
Moderna booster, I had little side effects other than a slightly sore shoulder and some fatigue.	Moderna	Negative	Tiredness,Muscle Pain
Did anyone experience dizziness + nausea 5 days after getting moderna vaccine? I feel like I’m dying lol	Moderna	Negative	Nausea,Other
Today I got vaccinated for COVID-19. I presented prescription for my maintenance medicines for hypertension. Whatever was available is the best vaccine so sinovac it is. It’s what the LGU is offering. All vital signs are normal. No pain. Worked after a good shower.	Sinovac	Positive	None
In addition to dat, Pfizer & Moderna hd also been approached bt their estimation was way more than what they gave to other countries. Covishield is research of Oxford and SII is manufacturing partner. Under this agreement, SII is bound 2 provide 30% of vaccines to them.	Pfizer	Neutral	No Details
In addition to dat, Pfizer & Moderna hd also been approached bt their estimation was way more than what they gave to other countries. Covishield is research of Oxford and SII is manufacturing partner. Under this agreement, SII is bound 2 provide 30% of vaccines to them.	Moderna	Neutral	No Details
I'm diggin' The Funky Cold Moderna myself.	Moderna	Negative	Chills
HI Jeras, My booster caused an itchy blotchy rash at the injection site. It migrated down my arm to my elbow and then dissipated over the course of a week. I'm ready for another jab if necessary. GO HOUSE MODERNA!!!!	Moderna	Neutral	Muscle Pain
Yeah ... I think it has to do with same medication administered too early . I mean there’s Hepatitis vaccine that is given in 4 and 6 weeks apart and it doesn’t make us sick , but I’m not entirely sure why Moderna has such effect	Moderna	Negative	No Details
I felt a bit achey for 24 hours after each of my 3 Pfizer jabs, and also my recent flu shot for that matter, but that was all. My 17 yo had 2 Pfizer with no issues at all and has a sore arm after her Moderna booster this week.	Pfizer	Positive	Muscle Pain
I felt a bit achey for 24 hours after each of my 3 Pfizer jabs, and also my recent flu shot for that matter, but that was all. My 17 yo had 2 Pfizer with no issues at all and has a sore arm after her Moderna booster this week.	Moderna	Negative	Muscle Pain
Has AZ then Pfizer, then a moderna booster (need to collect the set, yt'know). Was hit *hard* by first two, little beyond sore arm and a little bit (more) lethargic from booster. Missus got AZ + Pfizer, then Moderna booster, and got a day of solid fatigue etc. after the booster.	Pfizer	Neutral	Muscle Pain
Has AZ then Pfizer, then a moderna booster (need to collect the set, yt'know). Was hit *hard* by first two, little beyond sore arm and a little bit (more) lethargic from booster. Missus got AZ + Pfizer, then Moderna booster, and got a day of solid fatigue etc. after the booster.	Moderna	Neutral	Tiredness
Has AZ then Pfizer, then a moderna booster (need to collect the set, yt'know). Was hit *hard* by first two, little beyond sore arm and a little bit (more) lethargic from booster. Missus got AZ + Pfizer, then Moderna booster, and got a day of solid fatigue etc. after the booster.	AstraZeneca	Neutral	Muscle Pain
I too am worried; especially about long Covid. I’ve had two doses of the AstraZeneca vaccine but I don’t know how effective it is against long Covid. Throughout this pandemic my greatest worry has been long Covid due to a history of prolonged post viral fatigue syndromes.	AstraZeneca	Negative	Tiredness
I was HARD against Sinovac. But friends' parents who are doctors convinced me and my family to take it. 2 weeks after my 2nd dose. No major side effects aside from pain on the vaccine arm THE BEST VACCINES ARE THE ONES YOU CAN GET RIGHT NOW.	Sinovac	Positive	Muscle Pain
Had the Moderna as a booster - not great the next morning & a little sick but 100% fine by noon. Arm a little sore for about 24 hours	Moderna	Neutral	Tiredness,Muscle Pain
#Vaccine for healthy children to save sick old people? Reread the myth of #Iphigenia, the story of #Isaac. The Gods test the piety of men by asking them to #sacrify what is most dear to them, but they NEVER go all the way. #COVID19. Is #Pfizer our wicked god ?	Pfizer	Negative	No Details
The first one I felt really rough, achey and no energy. Second one was better, My arm ached for a while, But the side effects weren't as bad. I had the AstraZeneca Vaccine.	AstraZeneca	Neutral	Tiredness,Muscle Pain
More like pre- apocalypse. This is more of politics than science. I got my Moderna shot even when I'm like 10% sure I want to. Why? I don't want to be denied some basic things. This is sickening tbvh	Moderna	Negative	Other
I had a Moderna booster on Thursday along with a flu shot. Slightly sore arm was the extent of it.	Moderna	Negative	Tiredness,Muscle Pain
2 x AZ and then Moderna. Sore arm and pretty tired next day.	Moderna	Neutral	Muscle Pain
2 x AZ and then Moderna. Sore arm and pretty tired next day.	AstraZeneca	Neutral	Muscle Pain
Flu like feeling the next day, fine the day after Sore arm for a day and a half Moderna	Moderna	Neutral	Muscle Pain
Careful girl. I got my 2nd moderna dose yesterday and felt fine until I went to sleep. I woke up a half dozen times in the middle of the night and have been miserably sick all day today. Take it easy tomorrow if you’re able to, this shit suuuucks	Moderna	Negative	Tiredness,Other
Which vaccine did you take? After my second Pfizer shot, I was lethargic, slight body aches and slight fever. Tylenol helped immensely. All those issues went away after a day and a half. I’m glad you did it, to protect yourself, your family and people around you from virus	Pfizer	Negative	Muscle Pain,Fever
I have needed a nap right after every shot. But then I do rather like naps… Seriously, sore arm with first two shots. Warm area on my arm with the half-dose Moderna booster.	Moderna	Neutral	Tiredness,Muscle Pain
A relative who refused to take the vaccine died from Covid19. I feel so guilty for not calling to tell him what a stupid thing he was doing. Please take the vaccine. AstraZeneca, Chinese, Mars, Venus. Anything that will keep severe sickness away from you.	AstraZeneca	Positive	None
Had my AZ jabs. No side effects. Had my Pfizer booster yesterday and no effects, apart from bit of soreness at the injection site. Did I get the placebo?	Pfizer	Positive	Muscle Pain
Had my AZ jabs. No side effects. Had my Pfizer booster yesterday and no effects, apart from bit of soreness at the injection site. Did I get the placebo?	AstraZeneca	Positive	None
Maddy de Garay is in a wheelchair for life and needs a feeding tube to eat. Pfizer reported her side effects as a ‘stomach ache’.	Pfizer	Negative	Muscle Pain
Had about a day and a half of mild temperature, sore arm and armpit, slight headache, then it went. Moderna.	Moderna	Negative	Headache,Muscle Pain,Fever,Nausea
Got the Pfizer vaccine 2 days ago. Had a sore arm and felt tired but that's it.	Pfizer	Neutral	Muscle Pain
(still day 0 after getting ASTRAZENECA vaccine) NOTE: - I took paracetamol 4 times started from midday after I got home, when entered night time, before midnight, and after midnight because I couldn't handle the shivering & dizziness - I ATE a bit more than usual &gt;&gt;	AstraZeneca	Neutral	Tiredness,Other
Mm no. Those who had 2 Pfizer are under observation, so far without getting sick and the others are only 1 shot AZ. It has been stated myriad of times you need 2 shots and 2 weeks later to make a difference. So vaccines so far doing well.	Pfizer	Positive	None
Mm no. Those who had 2 Pfizer are under observation, so far without getting sick and the others are only 1 shot AZ. It has been stated myriad of times you need 2 shots and 2 weeks later to make a difference. So vaccines so far doing well.	AstraZeneca	Positive	None
the global vaccines read:Pfizer and Moderna have declined to sell vaccines to state govts and would only deal with the Centre. Delhi and Punjab govt approached them and have gotten similar replies. So political vendetta is all that I see	Pfizer	Negative	No Details
the global vaccines read:Pfizer and Moderna have declined to sell vaccines to state govts and would only deal with the Centre. Delhi and Punjab govt approached them and have gotten similar replies. So political vendetta is all that I see	Moderna	Negative	No Details
Yes - 1st AZ felt like crap 24hrs 2nd AZ didn’t feel much at all. 3rd Pfizer slightly sore arm for 24hrs was my only indication I had it.	Pfizer	Neutral	Muscle Pain
Yes - 1st AZ felt like crap 24hrs 2nd AZ didn’t feel much at all. 3rd Pfizer slightly sore arm for 24hrs was my only indication I had it.	AstraZeneca	Neutral	Tiredness
Moderna vaccine has knocked me for 6. Pounding headache for 2 days not and hot/cold flushes	Moderna	Negative	Headache,Tiredness,Fever
That's great news about the minimal side-effects. My daughter got the Moderna vaccine, and she was okay for the first 20 hours, and then got bad chills, fever, achy and just majorly run-down. Those side effects lasted about 12-14 hours, and then went away.	Moderna	Positive	Chills,Fever,Other
Look at this shameless vulture . Hey doc ! Can you tell me which is the best vaccine ? Pfizer ?? Moderna ?? You sick fools make me puke. USA with mRNA vaccines is seeing an onslaught with excessive death rates. Better vaccines my arse.	Pfizer	Negative	No Details
Look at this shameless vulture . Hey doc ! Can you tell me which is the best vaccine ? Pfizer ?? Moderna ?? You sick fools make me puke. USA with mRNA vaccines is seeing an onslaught with excessive death rates. Better vaccines my arse.	Moderna	Negative	No Details
Yeah after my first vaccine, later in the early morning (like 2-3 am) while watching netflix I started feeling proper cold and then as time passed I was too hot. No joke my temp at the peak of it was 39.4 celcius. Once fever ended just a week of headaches but that was AstraZeneca	AstraZeneca	Negative	Headache,Chills,Fever
I had my Pfizer booster yesterday and I’m fine. Not even a sore arm.	Pfizer	Positive	None
sick to death lol the doctors wouldn’t give me my covid vaccine so i sent them a long email saying i should be eligible and it turns out ive been eligible for about 3 months but they won’t give me it now because they’ve only got astra zeneca hate my life	AstraZeneca	Negative	No Details
Moderna Sore arm first shot About 12 hours feeling achey/feverish after second - not the first 12, more like hours 24-36 Everybody is different though It probably has more to do with your immune response than which vaccine you get	Moderna	Neutral	Muscle Pain,Fever
Got my COVID vaccine booster (Moderna) a couple of days ago. Felt a little more feverish than last times (Pfizer), but was back to normal after about a day and a half.	Pfizer	Neutral	No Details
Got my COVID vaccine booster (Moderna) a couple of days ago. Felt a little more feverish than last times (Pfizer), but was back to normal after about a day and a half.	Moderna	Neutral	Fever
The worse I felt was a sore arm (Moderna), I was expecting the worst, but I guess I lucked out.	Moderna	Positive	Muscle Pain
2nd vaccine (Moderna) update. Vaccinated Tuesday. Knocked down Wednesday with chills, body and headache. Better today (Thurs.) and still very happy to have had my two shots. Please don't hesitate to join me on the 2 shot list.	Moderna	Negative	Headache,Tiredness,Muscle Pain,Chills
i got my second dose of the moderna vaccine, i feel like crying for hours on end. i’m in complete pain lmao, but anyways i want magna screaming with dante at his feet in black clover opening 14 :’s	Moderna	Negative	Muscle Pain
My mom took Pfizer, only a little pain on the arm. My father took Astrazeneca's he got just a mild fever. It's not a competition, every approved vaccine is safe and protects.	Pfizer	Positive	Muscle Pain
My mom took Pfizer, only a little pain on the arm. My father took Astrazeneca's he got just a mild fever. It's not a competition, every approved vaccine is safe and protects.	AstraZeneca	Neutral	Fever
I got my booster. Moderna. After a restless night of being alternately very cold then very hot and waking extremely sweaty, I had a bad headache for three days. One more day of it and I would’ve turned anti-vax. Luckily it went away and I’m good now.	Moderna	Positive	Headache,Chills,Fever
1. Positive test 10 days ago. 2. It was a mild cold 3. Seconds Moderna shot last May. No booster.	Moderna	Neutral	Chills
Meanwhile Covishield, which is the local name for the Oxford-AstraZeneca vaccine is being manufactured locally by the Serum Institute of India, the world's largest vaccine manufacturer. It is made from a weakened version of a common cold virus ( adenovirus) from chimpanzees.	AstraZeneca	Neutral	No Details
I’m allergic to penicillin and ampicillin, and I took the AstraZeneca shot early May. Did not experience anything unusual, just fever, mild lethargy, and a sore arm at injection site. Doctor at consultation site said I would be able to take the vaccine without issue. Just monitor	AstraZeneca	Neutral	Muscle Pain,Fever
i took the pfizer vaccine and i had no side effects, just a little sore	Pfizer	Positive	Muscle Pain
I got Moderna and booster was sick after 2nd Moderna, nothing after the booster but just got over having covid 3 weeks ago	Moderna	Neutral	Tiredness,Chills
2 doses of Pfizer at the end of April. No side effects. Feel great and enjoying not having to wear a mask. All continuing statistics point to a very safe vaccine and no one getting deathly sick. #GetVaccinated	Pfizer	Positive	None
i had moderna for my first two and felt rough/slept really badly; i got pfizer this time and had absolutely zero side effects o.O like not even a sore arm.	Pfizer	Positive	None
i had moderna for my first two and felt rough/slept really badly; i got pfizer this time and had absolutely zero side effects o.O like not even a sore arm.	Moderna	Neutral	Tiredness
Got the Moderna booster. Felt fine. Just a little soreness in my arm.	Moderna	Positive	Muscle Pain
I had a astrazeneca on 10th and I had a fever and body pain for 24 hours but after that I m Ok. Musalmanoo Jo raat gabar may hay wo wahi ho gi, tension nahi lain and vaccine lagwain	AstraZeneca	Neutral	Muscle Pain,Fever
"How would most know when the media and health officials likely were paid to cover it up? Most #mainstreammedia companies are ""sponsored"" by #Pfizer #Pfizer #Covid #covid_19"	Pfizer	Negative	No Details
First two shots of Pfizer basically just a sore arm. Booster shot of Moderna , very tired, freezing cold, headache. Had two naps. Omly lasted one day though.	Pfizer	Neutral	Muscle Pain
First two shots of Pfizer basically just a sore arm. Booster shot of Moderna , very tired, freezing cold, headache. Had two naps. Omly lasted one day though.	Moderna	Negative	Headache,Tiredness,Chills
if u got the moderna vaccine: did u feel dizzy within the first 24hrs of getting the first shot? bc i’m seeing double and can’t walk straight lol	Moderna	Neutral	Other
Yep. All 3 Pfizer, not even a sore arm.	Pfizer	Positive	None
"Had my first Moderna shot last friday. That's how it went for me too. No headache, just that bit of ""pain"" around the injection spot that you also get after almost any other vaccine"	Moderna	Positive	Muscle Pain
Got Moderna several weeks ago. Had mild arm pain for like a day or two. Like any vaccine (or medication for that matter) it CAN have more severe side effects but the chance is extremely low. Birth control is legitimately more dangerous. You'll be alright.	Moderna	Positive	Muscle Pain
Pfizer heeft pas nog een schadeclaim gekregen van 2,3 biljard . Ach daar lachen ze om . Is wisselgeld voor deze maffioze bedrijven	Pfizer	Negative	No Details
Your likely booster experience: AstraZeneca: Get a pillow, you'll be tired. Pfizer: Rest that arm, it's going to be sore a few days. Moderna: BEWARE, THE HOUNDS OF HELL ARE COMING TO CLAIM YOUR SOUL. But really, it's better than the potential alternative. PLEASE get boosted.	Pfizer	Neutral	Muscle Pain
Your likely booster experience: AstraZeneca: Get a pillow, you'll be tired. Pfizer: Rest that arm, it's going to be sore a few days. Moderna: BEWARE, THE HOUNDS OF HELL ARE COMING TO CLAIM YOUR SOUL. But really, it's better than the potential alternative. PLEASE get boosted.	Moderna	Negative	No Details,Other
Your likely booster experience: AstraZeneca: Get a pillow, you'll be tired. Pfizer: Rest that arm, it's going to be sore a few days. Moderna: BEWARE, THE HOUNDS OF HELL ARE COMING TO CLAIM YOUR SOUL. But really, it's better than the potential alternative. PLEASE get boosted.	AstraZeneca	Neutral	Tiredness
The link did not say that the site will mainly serve as a cold storage for Moderna vaccines. Possible na may temporary storage si Mr. Razon doon for his Moderna vaccines before inject sa public. Moderna din kami but our site will be at a different place in Paranaque.	Moderna	Neutral	No Details
"I'm seeing ""2nd Pfizer"" trending. Well, I got mine on April 15, and my craving for swallowing live mice whole has almost completely abated. Seriously, the only side effect I had was a bit of fatigue for the rest of that day. So go get your vaccine. You won't regret it."	Pfizer	Positive	Tiredness
Information for whoever wants to know: husband had 2 x Moderna and Moderna booster and had a very very tiny sore arm. I had Pfizer x 2 and Moderna booster and not one single side effect.	Pfizer	Positive	None
Information for whoever wants to know: husband had 2 x Moderna and Moderna booster and had a very very tiny sore arm. I had Pfizer x 2 and Moderna booster and not one single side effect.	Moderna	Positive	Muscle Pain
2 orig. were moderna. got a pfizer booster & flu, same arm. sore x 1 day. moderna sore x 3 days. you can mix & match now, for booster.	Pfizer	Neutral	Fever
2 orig. were moderna. got a pfizer booster & flu, same arm. sore x 1 day. moderna sore x 3 days. you can mix & match now, for booster.	Moderna	Neutral	Muscle Pain
Pfizer don’t even work 10 employees got the shot 2 months ago now sick	Pfizer	Negative	No Details
I felt extremely muscle tired from 12-36 hours with the moderna booster. Like walking downstairs to get a snack required lying down another two hours. But nothing compared to dose 1 (AstraZeneca).	AstraZeneca	Negative	Muscle Pain
I got Moderna and I was completely fine, just a headache. But it has been said that you feel sicker after the vaccines if you’ve had COVID before.	Moderna	Positive	Headache
Same with my dad. Mom got Moderna and just had sore arm. H goes tmw so we’ll see what she gets lol	Moderna	Positive	Muscle Pain
i got covid 2 weeks ago. same symptoms except no sore throat. i was double vaxed Pfizer at the time. you should start feeling back to normal on the 3rd day. i suggest taking the usual Cold medicines which helped a ton with the symptoms	Pfizer	Neutral	No Details
this girl is saying her chest grew 2 sizes within 3 months of taking pfizer vaccine she better be talking about lymphnodes swelling or I'm gonna yeet myself	Pfizer	Negative	Swelling
We had two Moderna and 2 Pfizer vaccines in our family of 4 and 2 of us got fevers and nausea and 2 got no reactions. Completely worth it. #VaxUpMT #VaxUpGriz #VaxUpCats Don’t skip the 2nd dose. #VaccinesSaveLives	Pfizer	Positive	Fever,Nausea
We had two Moderna and 2 Pfizer vaccines in our family of 4 and 2 of us got fevers and nausea and 2 got no reactions. Completely worth it. #VaxUpMT #VaxUpGriz #VaxUpCats Don’t skip the 2nd dose. #VaccinesSaveLives	Moderna	Positive	Fever,Nausea
Got first dose of AstraZeneca today. I feel a bit dizzy now but I'm not sure whether it's because of the vaccine's side effect or not drinking coffee. The officer told me to not drinking coffee for a day. That's the most difficult part.	AstraZeneca	Negative	Tiredness
Haven't been able to shake random daily moments of dizziness within a month post 2nd shot. It is life impacting. #CovidVaccine #COVID19 #COVID19Vaccine #vaccine #PfizerVaccine	Pfizer	Negative	Tiredness
Morning after my second covid vaccine. Got Pfizer first time, Moderna yesterday. Still no side effects beyond a sore arm. Nothing scheduled for today except Denise's birthday in case things get bad.	Pfizer	Neutral	Muscle Pain
Morning after my second covid vaccine. Got Pfizer first time, Moderna yesterday. Still no side effects beyond a sore arm. Nothing scheduled for today except Denise's birthday in case things get bad.	Moderna	Neutral	Muscle Pain
Lol! I wish iturok agad kay evil D30 at Duque vaccine from China Sinovac,para sila mauna marigok ang utak nila both, kasi sabi Sinovac my sign effect daw heache matamlay body mo at u can have a fever nakakatakot vaccine of Russia at China,I wish all ppl,PH dont trust that Sinovac	Sinovac	Negative	No Details
You're better off getting the vaccine (Pfizer or Moderna). My mother and I got the first dose of the Pfizer vaccine last Wednesday, and aside from our arms feeling sore for a couple days and feeling a tad bit tired, we were fine.	Pfizer	Positive	Tiredness,Muscle Pain
Triple Moderna. Shot 2 (full dose) took me out for about 2 days of fever and fatigue. Booster took me out for 36 hours (fever was milder and shorter). Still a gazillion percent worth it.	Moderna	Positive	Tiredness,Fever
Headachy, sleepy for 3 days with Moderna, not too bad, took paracetamol and fluids. Bit of a sore arm.	Moderna	Neutral	Headache,Tiredness,Muscle Pain
My moderna booster was the same. A little tired and headache, but otherwise good to go.	Moderna	Positive	Headache,Tiredness
That's what I had. 2 Pfizers and then a Moderna booster. Had a sore arm the night I had the booster. Took Advil before bed. I was fine the next morning.	Pfizer	Neutral	No Details
That's what I had. 2 Pfizers and then a Moderna booster. Had a sore arm the night I had the booster. Took Advil before bed. I was fine the next morning.	Moderna	Neutral	Muscle Pain
Day two after Pfizer boost and no symptoms apart from being sore on the spot where I got it. Thank god!	Pfizer	Positive	Muscle Pain
Older generations, the media and government elected officials are adding to the fear mongering of getting vaccinated and I am tired of this, yes the vaccine rollout has been a mess but there’s been mass reluctance to get AstraZeneca because of a minority experiencing blood clots	AstraZeneca	Negative	No Details
I had the ast/zen and then the moderna booster, was feverish for a couple of days with upset stomach. Felt fine 3 days after and glad I have had it	Moderna	Positive	Fever,Other
I had the ast/zen and then the moderna booster, was feverish for a couple of days with upset stomach. Felt fine 3 days after and glad I have had it	AstraZeneca	Neutral	No Details
Right now all the Pfizer doses delivered to Philippines are being sent to Davao, because it is said that they are the only ones who can keep the vaccines cold enough until they are used. How will they keep 40 million doses cold?	Pfizer	Negative	No Details
I got the second shot yesterday first one was better second one is worst because your sore from the second shot (this is the Pfizer vaccine)	Pfizer	Negative	Muscle Pain
